Feed_inefficiency,Protein_efficiency,Animal_mortality,Fertilizer_use,Land_use,Soy_use,Permanent_grassland,Grazing,Manure_biogas,Renewable_electricity_use,Carbon_footprint
0.777,35.680,3.500,107.657,1.345,8.840,0.888,0.262,1,1,0.840
0.711,34.366,3.718,115.446,1.421,0.434,0.364,4.146,0,1,0.867
0.821,38.223,8.619,136.141,0.713,7.650,0.332,0.960,1,1,0.807
0.920,32.911,4.272,55.155,1.771,0.402,0.697,6.880,1,1,0.863
0.830,35.809,3.237,138.705,0.797,0.440,0.172,11.875,0,1,0.847
0.773,29.475,8.205,75.714,1.462,0.410,1.529,0.264,1,1,0.841
0.723,34.817,3.470,189.472,0.926,0.868,0.569,34.544,0,0,0.861
0.737,32.975,5.946,204.107,0.980,0.413,0.205,71.850,0,0,0.888
0.738,36.186,3.772,181.786,0.611,14.238,0.140,2.105,0,1,0.837
0.840,35.200,5.232,135.604,1.195,3.709,0.774,20.430,1,1,0.854
0.773,33.091,7.141,170.232,0.757,0.406,0.865,18.357,0,1,0.856
0.827,33.093,1.974,65.950,1.772,9.286,0.649,3.147,1,1,0.857
0.986,34.602,1.921,68.036,2.008,0.418,0.148,45.856,0,1,0.919
0.750,31.078,4.948,147.679,1.039,0.404,1.589,32.371,0,1,0.878
0.738,36.339,2.879,86.005,1.980,5.423,1.339,3.587,0,1,0.888
0.928,35.063,3.073,263.978,0.680,0.411,0.250,33.666,1,1,0.846
0.773,37.068,7.307,201.642,0.752,10.610,0.208,1.447,1,1,0.826
0.799,35.717,7.800,112.937,1.547,0.800,0.695,8.199,1,1,0.860
0.830,36.422,4.355,175.679,0.910,1.336,0.871,4.774,1,1,0.839
0.881,31.454,8.494,50.002,1.827,0.748,0.766,37.949,0,1,0.905
0.879,30.283,7.572,141.568,0.788,7.435,0.446,34.670,1,1,0.861
0.819,36.940,1.587,109.729,1.376,0.458,1.305,10.670,0,1,0.876
0.719,35.302,5.812,216.820,0.895,1.533,0.466,13.812,0,1,0.866
0.808,37.974,5.386,129.631,0.949,0.561,0.584,6.810,0,1,0.850
0.851,36.420,2.528,74.087,1.909,0.433,1.997,13.195,1,0,0.858
0.794,35.343,1.042,97.829,2.710,0.480,1.339,15.152,1,1,0.920
0.708,31.596,4.266,102.953,1.962,0.430,0.379,38.350,0,1,0.907
0.821,37.040,3.980,120.103,1.313,5.793,1.156,5.041,1,1,0.850
0.722,33.073,2.472,295.212,0.654,3.613,1.159,26.376,0,0,0.875
0.731,33.989,3.482,329.240,0.790,0.493,0.509,32.872,0,1,0.885
0.769,38.062,3.402,136.486,1.372,0.400,0.286,9.475,0,1,0.878
0.923,36.022,2.518,83.931,1.707,0.916,1.733,33.114,0,1,0.904
0.820,29.772,2.460,108.872,0.740,0.429,1.307,4.099,0,1,0.855
0.735,37.537,1.864,275.474,0.820,5.570,1.743,26.994,0,0,0.870
0.771,35.385,8.716,147.136,1.344,1.560,1.598,13.877,1,1,0.862
0.808,35.384,2.475,205.231,0.893,3.222,0.237,26.191,1,0,0.847
0.805,36.035,8.443,85.330,0.738,0.919,0.715,0.312,1,0,0.793
0.744,31.986,9.561,83.366,2.030,0.410,0.414,36.985,0,1,0.910
0.708,30.723,4.698,99.785,1.069,0.476,0.921,0.277,1,0,0.822
0.799,32.358,4.413,199.084,0.837,2.050,2.129,3.593,1,1,0.849
0.836,33.551,1.043,156.676,1.206,1.453,0.424,44.011,0,1,0.896
0.718,37.436,2.682,215.463,1.045,2.771,0.697,2.423,1,0,0.850
0.751,32.674,2.138,194.019,0.830,3.767,0.246,11.993,0,1,0.871
0.714,22.814,4.052,143.000,0.976,0.403,2.569,9.341,1,1,0.863
0.731,27.934,6.365,165.582,0.970,0.893,0.698,0.746,1,1,0.853
0.829,30.723,9.115,129.770,0.943,1.580,1.535,13.938,1,1,0.852
0.760,36.086,8.981,132.346,2.054,0.552,1.496,54.751,0,1,0.934
0.710,32.212,4.432,80.634,2.065,0.404,1.087,1.550,0,1,0.895
0.825,29.121,3.368,215.286,0.659,0.540,0.987,32.305,0,1,0.884
0.724,30.025,5.433,224.757,0.630,3.539,1.005,0.287,1,0,0.843
0.847,33.018,0.536,60.238,1.837,2.089,0.182,42.755,0,0,0.889
0.795,37.691,4.153,108.583,1.089,6.553,0.247,4.331,0,1,0.859
0.710,34.710,9.280,110.182,1.755,0.826,2.085,16.073,0,1,0.895
0.874,34.835,2.834,63.256,1.935,0.429,0.209,10.080,0,1,0.902
0.793,29.478,2.392,226.401,0.629,1.509,0.606,59.058,0,0,0.890
0.758,30.739,4.322,156.802,1.095,4.357,1.791,46.694,0,1,0.899
0.866,37.278,0.927,91.132,1.221,1.176,1.931,3.422,0,1,0.870
0.872,30.291,1.224,133.580,0.980,0.421,0.502,35.546,0,1,0.892
0.845,33.185,0.843,227.949,0.621,3.056,0.844,16.365,0,1,0.869
0.706,37.324,6.145,232.389,0.702,3.818,0.691,1.323,0,0,0.850
0.755,37.252,10.103,124.185,1.003,2.020,0.825,0.147,0,1,0.851
0.705,32.125,7.611,148.199,1.485,3.635,0.316,56.448,0,1,0.914
0.798,34.878,1.817,85.624,1.456,3.665,1.728,0.135,0,1,0.878
0.709,32.739,5.789,213.726,0.959,2.625,1.055,21.933,1,0,0.862
0.827,38.458,3.796,93.864,1.390,0.602,0.744,19.740,0,0,0.867
0.702,36.717,3.855,305.358,0.918,2.140,0.882,5.590,1,0,0.873
0.821,30.837,3.378,110.283,1.100,0.407,1.758,20.248,0,1,0.885
0.932,33.693,3.566,166.638,0.842,12.706,1.665,64.762,0,1,0.898
0.779,34.839,14.533,79.640,0.920,0.562,2.456,8.287,1,0,0.811
0.794,36.798,0.459,110.099,2.074,2.500,0.752,20.895,0,1,0.923
0.783,26.462,2.596,145.220,0.720,0.463,0.587,4.867,0,1,0.874
0.809,30.071,2.050,211.439,0.741,1.699,0.522,26.633,0,1,0.887
0.849,32.527,3.400,222.659,0.915,0.409,1.985,54.875,0,1,0.902
0.811,32.330,2.261,71.513,1.603,1.412,0.404,2.238,0,1,0.887
0.750,37.034,4.646,161.883,1.441,0.400,1.461,21.290,0,1,0.901
0.857,36.121,5.955,166.504,0.645,0.522,1.225,11.390,0,1,0.856
0.941,29.949,2.092,57.968,1.480,0.717,0.847,28.423,0,1,0.905
0.710,32.694,1.378,121.174,0.757,4.527,1.217,3.514,0,0,0.844
0.774,38.320,4.363,146.155,0.818,10.283,0.779,0.917,0,1,0.851
0.728,32.994,0.551,357.074,0.699,2.810,0.832,9.304,0,1,0.896
