Feed_inefficiency,Protein_efficiency,Animal_mortality,Fertilizer_use,Land_use,Soy_use,Permanent_grassland,Grazing,Manure_biogas,Renewable_electricity_use,Carbon_footprint
0.964,31.024,3.330,190.977,1.523,0.695,1.590,43.857,0,1,1.050
1.052,31.193,12.945,66.630,3.274,0.897,1.162,50.181,0,1,1.109
0.913,35.844,5.914,206.593,0.713,21.665,0.256,6.759,0,0,0.979
0.963,35.639,2.818,340.267,0.767,0.846,0.429,19.791,0,0,1.009
0.802,31.451,8.526,126.703,2.579,0.523,0.451,25.473,0,1,1.070
1.051,26.788,5.562,147.523,1.151,0.458,0.708,59.934,0,0,1.046
0.953,30.453,4.207,154.532,1.112,0.977,2.098,14.939,0,0,1.006
0.950,32.755,5.572,326.302,0.615,1.807,0.450,2.950,0,0,1.000
1.025,35.813,5.706,215.266,0.828,11.319,0.363,34.008,0,0,0.999
0.931,30.434,0.996,292.785,0.765,0.484,1.164,4.724,0,0,1.012
0.834,28.956,3.341,423.495,0.734,1.069,0.291,4.965,0,0,1.045
1.204,28.424,0.732,238.195,0.819,0.410,0.938,65.768,0,0,1.031
1.010,29.715,4.850,232.057,0.859,0.760,1.694,8.812,0,1,1.012
0.921,33.256,0.921,252.784,0.654,36.652,1.731,21.103,0,0,0.998
0.999,29.900,1.279,180.645,1.261,11.895,1.256,36.347,0,1,1.034
0.950,31.360,5.893,136.850,1.382,0.401,1.557,25.634,0,0,1.019
0.975,30.100,1.612,156.865,1.743,1.341,1.224,38.346,0,1,1.053
1.013,27.239,2.839,140.293,1.208,0.443,1.311,39.736,0,0,1.029
0.863,33.495,3.135,169.201,1.768,0.585,0.766,6.770,0,1,1.044
1.129,30.534,3.671,114.694,1.119,24.114,1.404,13.438,1,1,1.001
0.953,36.729,8.071,239.599,0.671,3.117,1.472,0.000,0,0,0.976
0.882,28.432,3.516,277.471,0.889,0.479,1.297,23.534,0,0,1.026
0.927,32.940,1.732,100.772,2.971,0.684,1.340,15.694,0,1,1.085
0.981,27.534,2.308,370.569,0.649,0.499,1.638,2.916,0,1,1.014
1.104,23.492,4.788,111.069,1.760,0.845,0.929,24.852,1,1,1.035
1.353,21.977,1.514,90.732,1.515,2.144,0.790,65.078,1,0,1.053
0.970,27.334,0.485,290.264,0.757,2.741,1.310,27.139,0,0,1.024
0.911,34.181,3.935,128.093,2.241,5.658,0.586,24.649,1,0,1.026
1.076,28.667,2.544,68.803,1.286,0.000,0.261,2.692,0,0,0.997
0.847,28.215,5.463,171.960,1.104,3.154,0.915,9.906,0,0,1.008
0.978,32.352,3.359,278.613,0.765,0.414,0.650,17.615,0,0,1.008
0.923,38.091,7.896,131.440,1.430,17.624,0.432,8.338,0,1,1.008
0.976,33.523,2.042,184.718,0.872,19.601,0.914,0.442,0,1,0.999
0.892,32.181,1.895,280.800,0.937,0.554,0.831,13.658,0,0,1.020
1.352,25.365,4.391,105.391,0.705,2.827,2.022,42.397,0,0,1.041
0.994,30.271,7.454,118.634,2.141,0.418,1.314,19.169,1,1,1.040
0.952,28.555,1.946,183.839,1.169,1.409,0.212,5.284,1,0,0.996
0.961,32.424,1.494,170.238,1.214,9.908,0.115,5.197,0,1,1.017
1.160,27.309,5.082,58.432,1.952,0.444,1.226,6.980,0,1,1.043
0.952,29.387,3.364,141.316,1.888,0.570,0.522,46.115,1,0,1.030
0.878,31.059,3.667,338.547,0.667,23.598,0.722,12.885,0,0,1.020
1.137,23.302,2.048,74.594,1.876,0.407,1.315,13.453,0,1,1.045
1.247,29.285,4.162,124.382,0.936,0.400,0.899,46.105,0,0,1.033
0.857,29.089,0.991,164.841,1.792,3.318,1.023,26.873,0,1,1.049
1.012,30.012,1.025,140.080,0.873,7.171,0.618,3.587,0,0,0.992
0.885,36.044,4.293,205.885,0.760,26.123,0.802,3.887,0,0,0.981
1.057,27.070,2.597,151.314,1.187,0.782,1.418,54.043,0,0,1.040
1.013,35.023,2.941,76.526,2.617,3.552,1.230,21.502,0,0,1.051
0.904,28.578,3.687,161.528,1.137,0.949,1.165,12.755,0,0,1.011
1.015,27.289,0.879,207.423,1.028,0.409,1.145,8.191,0,1,1.023
0.913,29.562,4.554,211.820,1.305,0.403,0.660,28.377,0,1,1.040
0.804,31.975,2.777,194.061,1.741,0.406,0.585,12.544,0,1,1.050
0.950,34.782,1.169,212.018,1.117,4.848,0.770,22.157,0,0,1.012
0.860,34.098,1.617,161.013,1.344,36.753,0.892,0.300,1,1,0.992
0.882,23.854,4.281,65.252,2.586,8.987,0.801,31.286,0,1,1.044
0.918,28.237,2.287,280.239,0.862,7.539,1.487,41.055,0,0,1.031
1.336,24.569,1.391,66.331,2.360,0.741,2.020,33.461,1,1,1.058
0.897,25.772,2.052,149.514,1.656,1.895,2.047,27.119,0,1,1.046
1.146,27.922,8.127,222.852,0.757,3.080,2.175,40.042,0,1,1.034
0.818,27.135,3.394,219.434,0.624,50.941,0.189,44.818,0,0,1.028
0.841,27.660,1.369,205.251,1.138,20.075,1.739,20.624,1,0,1.007
0.945,33.131,5.355,139.958,1.353,0.550,0.219,14.459,0,0,1.011
0.911,31.461,4.938,131.226,1.869,0.410,2.016,5.342,0,1,1.041
0.955,30.202,3.666,133.073,1.420,0.850,1.851,26.059,0,0,1.022
0.785,32.405,5.534,124.682,1.349,21.362,1.881,2.769,0,0,0.991
0.742,32.215,5.343,243.077,1.375,8.853,0.720,4.017,0,1,1.035
1.036,27.765,1.758,156.093,0.818,2.239,2.250,7.153,0,0,1.000
1.059,31.644,5.855,167.947,0.776,0.400,1.178,17.165,0,0,0.998
0.952,29.707,5.626,172.823,1.185,1.947,0.944,9.300,1,0,0.995
0.836,34.071,10.437,133.404,1.674,0.909,0.781,7.116,0,0,1.013
0.836,34.363,4.718,168.110,1.633,2.009,0.663,15.137,0,0,1.027
1.058,33.293,2.053,82.429,2.425,1.299,1.594,6.873,0,1,1.063
1.073,29.269,5.681,83.022,2.815,2.166,0.810,58.857,0,1,1.092
0.934,28.182,4.247,224.060,0.945,21.042,0.442,37.083,1,0,1.009
0.832,24.710,1.035,128.739,2.140,0.400,0.678,47.605,0,1,1.060
0.930,30.511,9.676,160.460,0.936,1.205,0.596,10.674,0,0,0.998
0.898,29.691,1.264,206.541,1.278,0.430,0.636,40.515,0,0,1.035
0.838,27.890,9.128,172.228,1.114,0.988,0.231,18.875,0,0,1.014
0.928,30.893,5.038,261.357,0.916,0.404,0.396,28.412,0,0,1.023
1.047,32.447,2.278,110.697,1.244,16.402,0.616,13.280,1,0,0.983
0.765,34.561,4.910,369.733,0.891,20.167,0.111,6.878,0,0,1.033
0.987,32.557,3.436,245.208,1.055,2.969,0.501,2.832,1,1,1.000
0.913,28.507,5.739,99.305,2.277,1.456,1.216,14.382,0,1,1.052
0.860,29.392,5.218,378.972,0.678,7.618,0.372,1.189,0,0,1.031
1.052,32.133,1.441,151.493,0.881,1.573,1.937,6.913,0,0,0.992
0.856,36.031,4.438,202.328,1.252,1.717,0.848,1.203,0,0,1.010
0.855,28.339,3.698,182.269,1.152,0.440,0.358,10.368,0,0,1.015
0.994,27.456,3.067,108.183,1.134,2.027,2.278,7.839,0,0,1.003
0.898,31.650,2.249,184.890,0.747,32.333,0.844,15.438,0,0,0.998
1.005,25.146,0.711,140.678,1.125,8.308,0.969,51.168,0,0,1.036
0.813,30.917,3.431,369.514,0.864,3.761,1.122,10.885,0,0,1.040
1.098,27.488,1.405,114.707,2.208,1.044,1.196,38.100,1,1,1.051
0.731,34.243,7.919,211.811,0.951,42.536,0.199,19.271,0,0,0.995
1.146,28.011,1.391,172.799,1.167,0.400,0.257,68.789,0,0,1.048
0.849,24.687,1.791,293.383,0.704,17.333,0.545,0.645,0,0,1.036
1.265,26.484,11.959,150.336,0.767,0.474,2.030,40.397,0,1,1.057
0.949,31.036,1.795,168.068,1.078,22.457,1.938,10.595,0,1,1.017
1.020,25.280,3.994,277.170,0.752,0.546,0.302,56.497,0,0,1.041
0.902,30.766,2.038,172.141,1.507,1.051,0.936,4.091,0,1,1.035
0.902,29.990,2.469,164.002,1.851,0.417,0.484,35.946,0,1,1.059
0.847,32.075,9.965,365.547,0.775,1.580,0.559,14.628,0,0,1.027
0.878,36.044,7.926,240.977,0.978,43.704,0.896,28.108,1,1,0.984
0.959,26.984,5.930,153.203,1.232,2.558,0.850,57.241,0,0,1.045
0.865,33.644,5.497,155.591,1.491,3.342,0.687,13.019,0,0,1.017
1.069,24.473,1.422,119.265,1.352,4.423,1.531,30.177,1,0,1.014
0.790,30.607,8.279,231.138,1.370,1.880,0.252,17.197,0,1,1.039
0.738,34.350,6.431,279.676,1.412,1.253,0.438,30.191,0,0,1.050
1.358,28.934,1.767,124.272,1.212,0.407,0.493,49.123,1,0,1.027
1.173,35.374,3.715,105.078,1.632,0.409,1.006,22.903,0,1,1.047
1.027,35.189,6.090,119.892,1.330,5.060,1.004,2.225,0,1,1.015
1.019,25.106,1.039,200.605,0.969,3.060,0.626,56.914,0,0,1.041
0.876,28.969,3.360,158.797,1.639,13.083,1.460,43.339,0,1,1.047
1.050,31.995,6.000,153.488,0.845,18.707,0.768,17.951,1,0,0.982
0.758,25.867,6.451,176.679,0.790,32.612,0.121,11.241,0,0,1.015
0.943,32.239,5.519,323.092,0.622,26.389,1.997,0.069,1,0,0.992
0.972,27.366,3.852,274.805,0.779,24.946,0.609,39.914,0,1,1.032
0.700,36.665,6.304,242.551,1.587,2.500,0.594,0.297,0,0,1.042
0.932,28.084,4.710,285.498,0.658,7.172,1.301,6.907,0,0,1.016
0.843,27.124,6.972,326.180,0.793,6.793,1.846,34.075,0,0,1.040
0.883,21.241,8.055,223.309,0.994,2.808,0.994,34.851,0,1,1.049
0.925,32.341,12.390,241.383,1.082,5.061,1.908,64.374,0,0,1.047
0.720,28.705,4.267,92.938,1.847,19.431,0.656,12.015,0,0,1.003
0.836,36.289,6.230,211.815,1.227,3.015,0.694,1.145,0,0,1.010
0.914,29.689,9.863,175.463,0.890,0.400,2.188,7.423,0,0,0.998
0.766,27.412,0.000,393.604,0.897,0.436,0.374,9.473,0,0,1.062
0.869,29.852,5.679,191.084,0.839,42.456,1.931,24.877,1,0,0.994
1.091,29.394,10.769,193.868,0.744,0.803,1.433,17.408,0,1,1.017
1.154,28.328,5.973,92.110,1.921,0.432,0.246,40.313,0,1,1.072
0.889,27.695,7.087,302.697,0.744,1.253,0.771,16.782,0,0,1.026
0.866,30.477,4.368,268.892,0.720,31.822,1.170,25.882,0,0,1.018
0.861,21.236,3.663,185.377,0.866,0.468,0.590,0.392,0,0,1.015
1.027,32.924,7.296,141.422,0.727,2.779,0.999,3.958,0,0,0.980
0.903,30.858,7.986,229.483,1.026,0.420,1.384,32.132,0,0,1.027
0.985,30.892,1.386,214.327,0.988,2.544,0.754,27.013,0,0,1.019
1.158,24.916,2.860,117.069,1.486,0.400,2.099,32.883,0,1,1.055
0.935,35.207,6.956,230.193,1.069,1.921,0.758,4.414,1,0,0.991
0.825,30.395,2.379,308.397,0.894,28.623,0.480,6.147,1,0,1.015
1.025,25.865,4.109,172.148,1.195,0.496,1.375,38.416,1,0,1.021
0.941,35.124,3.134,161.646,1.228,2.916,0.119,6.656,0,0,1.005
0.886,26.124,4.562,209.410,0.923,0.740,0.970,14.654,0,0,1.020
0.754,32.275,14.015,289.631,0.688,58.558,0.969,2.573,1,0,0.991
1.013,33.385,3.451,133.372,1.264,0.486,1.557,14.862,0,0,1.010
1.028,32.585,3.399,90.933,1.525,10.772,1.209,27.550,0,0,1.017
0.901,28.459,4.713,156.982,1.114,1.518,0.461,9.033,0,0,1.009
0.897,35.229,11.225,350.115,0.710,15.421,0.150,2.190,1,0,0.989
0.995,31.343,1.791,337.509,0.764,1.105,0.956,8.652,1,0,1.002
0.811,30.432,7.709,193.933,1.192,1.413,1.301,8.208,0,0,1.014
0.839,31.469,5.041,116.760,2.171,8.414,2.141,3.427,0,1,1.044
1.059,26.538,2.973,381.855,0.726,3.293,0.209,56.729,1,0,1.020
0.869,28.669,8.668,409.692,0.630,2.869,1.443,3.989,0,0,1.034
0.830,28.072,8.125,196.580,1.227,5.581,0.404,10.903,1,0,1.004
1.001,29.338,3.628,242.119,0.757,0.400,0.169,18.294,0,0,1.013
1.018,26.657,5.303,83.108,1.790,19.604,1.639,5.929,1,1,1.014
0.816,35.467,10.834,259.200,0.971,7.664,0.379,4.380,0,0,1.006
0.876,30.617,5.685,170.184,1.726,7.209,0.549,43.976,0,1,1.055
0.977,27.080,1.510,129.970,1.876,0.826,0.161,33.081,0,1,1.057
1.007,27.775,3.371,106.481,1.255,0.400,1.537,14.137,0,0,1.012
0.988,28.267,1.717,158.292,1.038,14.333,1.003,43.023,0,0,1.026
0.918,29.769,7.019,215.495,0.810,2.593,0.681,5.477,0,0,1.004
0.966,29.061,6.219,321.275,0.634,0.411,0.372,15.223,0,0,1.018
0.743,36.992,6.507,218.587,1.165,42.481,0.276,12.216,0,1,1.003
1.155,27.725,4.920,98.893,2.182,1.639,1.106,65.522,0,1,1.090
0.844,37.171,5.095,225.365,1.290,0.501,0.441,4.620,0,0,1.021
0.951,35.645,5.795,208.640,0.893,1.327,0.416,3.827,0,0,0.994
0.745,32.630,6.553,140.189,2.806,0.561,0.168,20.462,0,1,1.086
0.933,26.930,2.585,356.902,0.787,0.880,0.914,51.273,0,0,1.043
0.898,23.211,1.409,378.476,0.757,3.125,2.290,2.983,1,0,1.034
0.813,34.610,1.231,198.929,1.759,0.739,0.798,2.180,0,1,1.054
0.876,33.880,7.241,149.859,1.558,2.902,2.308,18.482,0,0,1.023
1.064,32.199,5.589,176.472,0.898,1.903,0.649,29.357,0,0,1.013
0.997,32.559,3.934,125.571,2.093,0.631,0.438,56.661,0,0,1.062
0.856,34.098,13.020,121.700,1.733,7.329,0.246,26.443,0,0,1.024
0.908,27.897,7.866,136.627,0.732,19.033,0.390,6.679,0,0,0.997
0.992,29.880,6.584,202.338,0.801,0.437,1.893,17.104,0,0,1.009
0.865,35.067,2.639,142.536,1.056,27.508,1.649,5.732,0,0,0.987
0.923,29.428,2.026,279.708,0.776,0.418,1.196,1.781,0,0,1.016
0.862,25.678,1.039,129.829,2.188,0.765,0.118,49.337,0,1,1.066
0.831,27.485,5.870,168.585,1.562,0.400,0.721,6.892,0,1,1.038
0.875,27.986,6.154,391.987,0.665,7.005,1.955,13.125,0,0,1.039
0.985,37.426,5.361,113.168,1.743,14.140,0.368,13.501,0,1,1.032
0.890,29.552,4.506,136.103,1.262,2.662,0.189,3.219,0,0,1.006
1.028,27.034,1.052,71.123,3.278,5.198,2.421,63.246,0,1,1.083
1.088,28.743,6.954,171.812,0.932,1.923,1.652,49.879,0,0,1.039
0.786,31.749,0.849,206.956,1.396,3.844,2.338,7.453,0,0,1.031
0.707,31.452,14.716,268.358,1.144,0.873,1.285,8.060,0,0,1.024
1.005,30.928,1.411,252.119,0.655,18.312,0.630,20.775,0,0,1.009
0.884,34.238,3.487,113.637,1.417,43.377,0.992,33.268,0,1,1.011
1.000,26.472,9.355,159.123,0.718,1.482,1.419,14.562,0,0,1.008
1.096,31.900,4.430,140.127,1.304,2.101,0.888,47.005,0,0,1.038
0.825,32.643,3.171,257.881,1.034,6.465,0.638,3.800,0,0,1.022
0.778,32.616,8.252,242.020,1.169,0.516,0.293,2.867,0,0,1.021
1.027,29.115,5.220,153.363,1.108,22.216,0.211,6.719,1,1,1.006
0.998,26.182,3.023,181.585,1.101,3.188,0.978,7.024,0,1,1.029
0.812,30.901,2.902,233.798,0.992,23.747,1.166,25.145,0,0,1.022
1.047,33.536,9.747,272.505,0.811,0.944,0.253,29.372,1,0,1.000
1.044,20.475,1.627,264.855,0.629,0.610,1.321,31.416,0,0,1.040
0.803,37.742,7.290,214.551,1.403,5.031,0.205,4.935,0,0,1.021
1.116,29.869,2.134,76.896,2.296,3.347,0.500,21.388,0,1,1.064
0.854,32.983,10.335,180.190,1.486,1.019,0.819,7.082,1,0,1.005
0.873,28.542,3.129,206.803,1.027,14.110,0.311,36.945,0,0,1.029
1.010,34.671,5.456,102.037,1.876,4.757,1.430,4.898,0,1,1.041
0.870,32.596,1.934,222.201,1.079,4.648,0.694,4.654,0,0,1.017
1.233,29.883,1.633,196.871,0.778,3.428,0.746,51.097,0,0,1.027
0.938,31.717,2.021,170.396,1.286,13.039,0.845,9.985,0,1,1.027
1.071,30.794,3.029,103.382,1.264,14.863,0.883,7.115,0,1,1.023
0.787,28.854,4.347,174.540,1.419,3.965,1.520,22.387,0,0,1.030
0.922,32.534,2.265,423.880,0.702,19.477,0.999,35.633,0,0,1.028
0.904,30.011,2.820,347.218,0.665,12.193,0.180,3.160,0,0,1.027
0.964,28.863,6.385,186.526,1.180,0.402,1.642,12.968,0,1,1.031
1.223,23.990,4.066,160.733,0.720,0.610,2.703,42.823,0,0,1.042
0.927,27.423,6.650,69.018,1.701,27.709,0.419,20.593,0,1,1.030
0.941,31.561,9.353,154.228,1.384,13.588,2.090,68.580,0,0,1.048
0.899,25.045,4.925,313.901,0.653,15.121,0.357,23.440,0,0,1.041
0.850,30.235,6.987,185.683,1.386,2.473,0.958,5.976,1,0,1.006
0.878,30.002,4.229,267.954,0.893,0.480,0.227,7.319,0,0,1.022
1.149,29.026,1.567,58.622,2.986,0.461,0.475,23.144,0,1,1.085
0.733,33.333,8.544,249.561,0.958,30.041,1.090,4.885,0,0,1.010
0.853,29.980,4.643,250.278,1.225,0.400,1.360,16.377,0,1,1.041
0.830,30.811,2.065,214.623,1.172,2.566,1.703,3.155,0,0,1.023
0.783,34.146,5.435,213.089,1.440,0.766,1.505,5.792,0,0,1.032
0.865,33.043,3.015,230.456,1.045,10.503,1.474,12.796,0,0,1.018
0.814,32.912,3.517,166.318,0.836,40.259,0.247,6.067,0,0,0.993
0.949,26.742,1.745,324.453,0.708,13.932,1.292,40.050,0,0,1.038
0.808,34.047,1.203,434.052,0.872,3.280,0.348,3.639,0,0,1.056
0.880,25.917,1.168,120.881,1.819,10.502,0.454,16.715,0,1,1.044
0.911,31.137,10.153,137.592,1.123,2.231,1.028,8.212,0,0,1.001
0.944,27.099,5.972,197.582,0.769,2.020,1.241,1.952,0,0,1.006
0.965,32.117,4.512,150.146,2.117,1.041,1.336,50.916,0,1,1.079
0.725,34.166,3.855,242.886,0.781,65.360,0.201,25.175,0,0,1.001
1.254,20.391,1.362,81.500,2.052,0.421,0.183,64.762,0,1,1.090
0.871,36.085,4.177,171.836,1.135,25.289,0.511,19.699,0,0,0.999
0.961,30.862,4.942,93.583,2.654,5.084,0.527,30.224,0,1,1.075
0.909,33.824,3.326,119.624,2.262,0.424,0.487,25.669,0,0,1.055
0.997,34.042,3.819,297.718,0.652,0.400,0.610,6.002,0,0,1.002
0.911,29.872,5.778,285.496,0.923,1.471,0.622,9.116,0,1,1.027
1.052,25.289,10.896,155.452,0.724,22.319,1.779,20.296,0,1,1.039
0.937,35.671,11.865,88.294,1.012,27.182,0.443,26.120,0,0,0.988
1.005,26.475,4.626,188.779,0.952,1.124,0.516,41.256,0,0,1.037
0.801,30.001,0.829,201.155,1.277,9.036,0.290,14.879,0,0,1.029
1.078,29.012,5.270,165.067,1.004,0.400,1.382,6.892,0,1,1.022
1.010,25.173,9.246,217.756,1.042,1.982,0.506,14.362,1,1,1.019
1.132,21.448,11.771,80.545,1.420,6.500,0.525,45.791,0,1,1.081
0.728,32.796,3.266,223.408,1.514,1.143,0.583,3.368,0,0,1.042
0.880,28.926,10.010,183.701,1.250,0.400,0.949,10.959,1,0,1.004
0.791,24.410,1.727,179.488,0.840,61.272,1.218,1.235,0,1,1.049
1.018,29.907,4.366,109.908,1.671,12.143,1.214,26.145,0,1,1.046
1.056,30.717,6.390,161.658,1.257,1.489,0.297,26.203,0,1,1.042
1.219,25.717,3.022,87.933,1.718,0.407,1.347,27.888,0,1,1.063
1.119,23.111,4.611,225.367,0.764,2.085,2.524,14.055,0,1,1.033
0.944,38.407,10.722,136.050,1.392,0.423,2.266,6.429,0,0,1.006
0.761,28.385,3.578,386.445,0.815,19.120,0.258,6.590,0,0,1.058
0.931,28.562,8.419,166.962,1.193,8.178,0.749,12.883,0,1,1.030
0.982,28.036,6.272,156.225,1.025,0.458,0.248,24.037,0,0,1.022
0.840,27.514,3.322,262.330,0.770,22.702,1.101,9.435,0,0,1.030
0.919,33.744,3.337,236.706,0.929,15.228,0.525,0.265,0,1,1.014
0.824,30.810,4.899,369.760,0.827,9.511,1.031,15.052,0,0,1.043
1.066,24.047,6.660,231.176,0.813,0.484,0.673,20.089,0,1,1.036
1.112,25.447,2.431,75.095,2.238,9.449,0.797,14.598,1,1,1.037
0.930,32.750,5.472,84.733,2.426,0.836,0.282,12.852,0,0,1.046
0.860,31.052,8.624,303.116,0.631,37.002,1.871,25.238,0,0,1.022
1.147,27.057,2.026,118.909,1.304,3.335,1.080,55.243,0,0,1.050
1.147,28.041,4.388,69.242,2.478,0.438,0.566,46.049,1,0,1.051
0.802,31.380,2.289,252.418,1.191,3.369,1.137,14.049,0,0,1.037
0.988,33.740,6.658,129.705,1.101,26.257,2.259,19.241,0,1,1.017
0.862,29.450,2.866,89.113,1.484,17.631,1.782,5.388,0,0,1.003
0.964,33.172,5.652,150.929,1.025,2.197,0.587,2.108,0,0,0.997
1.078,28.475,1.173,198.746,1.261,0.435,1.567,48.610,1,0,1.028
0.958,33.071,2.019,192.985,0.833,20.233,0.377,15.752,0,0,1.003
1.002,33.453,2.769,195.940,0.807,12.403,0.830,15.164,0,0,1.002
0.819,28.208,5.575,234.755,0.827,21.299,0.959,9.040,0,0,1.023
0.879,32.061,10.609,156.351,1.127,1.310,1.238,2.614,0,0,1.000
0.834,30.265,10.940,259.848,1.002,8.250,1.449,7.526,0,1,1.026
1.033,28.941,4.303,242.400,0.936,0.406,0.905,54.545,0,0,1.042
0.964,29.127,5.306,219.465,1.048,7.980,0.191,24.049,0,1,1.035
0.975,23.566,9.277,206.200,0.696,15.421,0.205,6.065,1,0,1.007
0.848,29.113,9.368,122.552,1.127,32.476,1.199,0.966,0,1,1.012
0.894,31.991,1.372,146.495,2.038,7.444,1.608,27.511,0,1,1.060
1.041,27.599,1.550,118.939,1.275,0.431,2.210,22.764,0,0,1.026
0.963,30.154,7.376,119.395,2.129,0.535,1.206,34.043,0,1,1.072
1.073,31.295,3.709,98.508,1.159,0.415,1.008,7.590,0,0,1.005
0.988,34.788,5.554,121.580,1.161,17.863,1.183,0.640,0,1,1.008
0.865,29.077,3.129,175.343,1.247,2.764,0.706,14.346,0,0,1.025
0.901,34.048,3.034,333.280,0.667,51.329,1.640,14.698,1,0,0.997
0.882,29.204,4.033,253.734,0.711,28.744,0.993,18.765,0,0,1.024
0.792,32.922,4.569,267.616,0.743,46.070,1.198,10.964,0,0,1.014
1.115,26.789,3.935,70.924,1.793,9.262,1.847,33.766,1,0,1.023
0.909,29.553,7.660,340.832,0.784,4.959,1.538,13.348,0,1,1.028
1.061,26.955,2.763,121.214,1.841,2.967,0.619,45.856,0,1,1.069
0.895,27.737,8.816,280.747,0.712,0.429,0.223,4.113,0,0,1.019
0.948,33.145,4.732,89.003,1.069,18.939,2.479,1.389,0,0,0.985
0.896,33.253,1.566,350.877,1.051,0.401,0.172,47.820,0,0,1.046
1.024,34.941,1.954,179.281,0.996,0.637,0.716,9.949,0,0,1.004
0.863,23.080,6.026,241.648,0.785,9.775,0.228,41.520,0,0,1.048
0.859,33.768,4.195,340.539,0.932,3.667,0.373,18.942,0,0,1.036
0.719,31.325,1.569,464.362,0.994,1.986,0.717,18.167,0,0,1.084
0.972,34.739,14.813,102.703,2.453,0.510,0.217,6.461,1,1,1.053
1.049,29.831,1.956,109.359,1.087,1.310,0.984,2.000,0,0,1.002
0.972,34.959,7.942,151.164,1.054,1.043,0.912,5.947,0,0,0.998
0.995,29.963,3.294,126.070,1.375,13.108,0.546,17.468,1,0,1.003
0.964,33.504,11.019,212.168,0.745,0.602,0.757,7.997,0,0,0.996
1.060,34.673,3.681,188.278,1.141,1.734,0.818,19.030,0,1,1.029
0.904,33.274,12.119,175.339,0.997,3.028,0.656,9.653,0,0,1.002
0.970,31.645,10.990,140.420,0.901,0.404,0.801,5.790,0,0,0.994
1.130,29.503,0.711,162.801,0.897,0.507,0.894,23.533,0,0,1.017
0.874,30.118,2.444,221.267,1.218,2.312,0.692,32.181,0,0,1.039
0.741,35.816,8.704,215.734,1.729,6.599,0.925,1.295,1,0,1.024
0.949,30.027,3.900,123.827,1.288,1.464,0.320,4.556,0,0,1.011
0.939,31.376,3.540,138.619,0.842,20.507,0.535,3.147,0,0,0.995
1.054,27.272,1.411,165.539,1.040,9.828,0.212,51.169,0,0,1.040
0.906,28.548,3.772,164.910,1.724,2.559,0.478,0.572,1,1,1.029
0.868,28.902,2.720,193.501,1.224,4.478,0.959,27.905,0,0,1.034
1.025,33.041,6.528,130.916,1.155,9.701,0.167,3.815,0,1,1.017
0.906,27.032,1.717,179.254,1.146,3.258,1.156,24.626,0,0,1.031
1.087,31.234,7.358,177.156,0.649,1.737,0.705,16.634,0,0,1.003
0.958,31.922,2.880,279.638,0.813,0.701,0.295,12.623,0,0,1.019
0.845,30.286,1.983,246.824,1.029,2.353,1.735,1.644,0,0,1.028
0.811,38.272,4.423,399.331,0.942,5.353,1.137,4.168,0,0,1.044
0.902,30.864,1.621,150.105,1.497,1.545,0.823,15.247,0,0,1.029
0.995,23.667,0.672,228.935,1.083,1.365,2.134,31.307,0,1,1.049
0.876,33.457,8.398,235.942,0.756,18.808,1.672,4.503,0,0,1.001
0.946,29.841,6.020,114.035,1.289,6.624,0.720,15.916,0,0,1.015
0.943,30.237,1.084,339.125,0.734,1.794,1.189,9.914,0,0,1.029
1.180,27.618,2.771,70.995,2.742,0.400,0.591,47.726,0,1,1.095
1.089,30.218,3.880,104.683,1.698,2.004,0.980,48.254,0,0,1.053
1.119,25.920,3.412,170.144,0.861,0.402,1.868,37.202,0,0,1.036
1.070,33.281,3.635,93.552,2.422,0.401,0.352,19.260,0,1,1.079
1.054,31.713,3.187,181.145,0.685,9.967,2.351,11.386,0,0,1.000
0.955,32.869,2.999,217.126,0.893,2.459,0.565,3.620,0,0,1.008
1.165,29.813,4.217,165.602,0.783,1.142,0.755,31.985,0,0,1.022
1.064,26.085,2.853,138.148,1.350,6.892,0.836,25.510,0,1,1.049
0.976,35.511,2.170,209.475,1.234,2.278,0.847,7.348,1,0,1.004
0.890,27.470,6.440,161.554,0.858,12.975,0.802,2.274,0,0,1.007
0.777,34.993,5.504,394.342,0.919,17.726,0.827,14.647,0,0,1.046
1.294,29.300,6.176,102.833,1.226,0.402,0.928,29.921,0,1,1.059
1.064,23.246,2.261,154.464,1.117,0.415,0.272,64.721,0,0,1.061
0.892,32.893,7.444,226.422,1.012,11.418,0.511,2.233,0,1,1.019
0.832,30.907,1.977,167.205,1.829,5.071,0.886,11.369,0,1,1.055
0.856,34.485,6.093,392.157,0.652,28.121,0.674,3.171,0,0,1.027
0.947,34.344,3.203,289.773,0.766,12.988,1.822,15.805,0,0,1.013
0.966,31.573,8.337,179.996,1.108,0.443,1.727,2.768,1,0,0.994
1.144,32.132,2.748,140.351,1.256,1.260,0.607,18.364,0,1,1.038
0.850,34.403,1.343,341.537,0.908,4.133,1.993,1.282,0,0,1.037
0.925,30.515,9.005,240.773,0.788,18.986,0.627,6.100,0,1,1.018
0.857,30.809,5.050,269.369,0.985,11.520,0.240,32.914,0,0,1.036
0.973,31.923,6.288,146.232,1.177,11.795,1.195,2.313,0,1,1.020
1.006,37.734,3.301,131.833,1.414,2.215,1.533,7.726,0,0,1.014
0.831,32.255,7.448,201.815,1.185,8.217,0.428,15.648,0,0,1.023
